date,month,year,ndvi_mean,ndvi_std
2017-01-01,1,2017,0.04974823798627003,0.04774583881310436
2017-02-01,2,2017,0.04770242251514071,0.04491667937345212
2017-03-01,3,2017,0.09733758460990383,0.06679182649050332
2017-04-01,4,2017,0.16757990007686394,0.08945203997462153
2017-05-01,5,2017,0.29292508196721306,0.08226278285948632
2017-06-01,6,2017,0.34863981518682197,0.10583280421957815
2017-07-01,7,2017,0.36086733771569435,0.13267104400418261
2017-08-01,8,2017,0.3762921471524584,0.14691616142851308
2017-09-01,9,2017,0.2389628410914927,0.14488491209052543
2017-10-01,10,2017,0.18759233524355298,0.12135766862186063
2017-11-01,11,2017,0.10143432304038007,0.114031926267749
2017-12-01,12,2017,-0.03535731517509727,0.06271311298936075
2018-01-01,1,2018,0.007139862958484481,0.06813200552981538
2018-02-01,2,2018,0.003463524877365103,0.02560507457028782
2018-03-01,3,2018,0.026268376068376054,0.02604501563651235
2018-04-01,4,2018,0.13029892435808466,0.10073243313817797
2018-05-01,5,2018,0.3386735894773278,0.15072084696861768
2018-06-01,6,2018,0.3837329588014981,0.12608428364246113
2018-07-01,7,2018,0.3323360513532268,0.12412696231454917
2018-08-01,8,2018,0.3353555447470816,0.1307311136762972
2018-09-01,9,2018,0.3392216741924278,0.09156410990241863
2018-10-01,10,2018,0.2705830149357415,0.1185534336163329
2018-11-01,11,2018,0.00849311819595646,0.08033593402655109
2018-12-01,12,2018,0.0404141414141414,0.042639897600099126
2019-01-01,1,2019,-0.024198055372445612,0.0180264215805578
2019-02-01,2,2019,0.042586994500161755,0.048460210910833766
2019-03-01,3,2019,0.07007861533484307,0.060828000177026456
2019-04-01,4,2019,0.1453935086277732,0.0688001186871138
2019-05-01,5,2019,0.3133208370837084,0.0987745123881695
2019-06-01,6,2019,0.3224486342674707,0.10096245033452304
2019-07-01,7,2019,0.3583030969030968,0.09358278337253075
2019-08-01,8,2019,0.34529170623615046,0.10424872752872344
2019-09-01,9,2019,0.3136179870792247,0.14495618519056014
2019-10-01,10,2019,0.15741035103510348,0.08688088454414787
2019-11-01,11,2019,0.11493381725021351,0.07924900455035516
2019-12-01,12,2019,0.08415576073865919,0.05440978636303402
2020-01-01,1,2020,0.04194154568744664,0.09381284967363954
2020-02-01,2,2020,0.07864040767386088,0.04719140627837463
2020-03-01,3,2020,0.1345372901678657,0.09914832837929322
2020-04-01,4,2020,0.17291035163966811,0.06931026290801887
2020-05-01,5,2020,0.30221388660640913,0.14191398469937497
2020-06-01,6,2020,0.36837408605629235,0.13325059073338416
2020-07-01,7,2020,0.3796370106761565,0.12451092196502792
2020-08-01,8,2020,0.38079272080232934,0.13101019057539764
2020-09-01,9,2020,0.351908762490392,0.14060453795903805
2020-10-01,10,2020,0.2821521177315147,0.1615695227035925
2020-11-01,11,2020,0.059489931087289435,0.09596816888310161
2020-12-01,12,2020,0.03780566801619433,0.06374289556251644
2021-01-01,1,2021,-0.030588071428571426,0.023889981392573333
2021-02-01,2,2021,-0.009033143399810062,0.018142107932842686
2021-03-01,3,2021,0.049268027856916724,0.05274479700511807
2021-04-01,4,2021,0.1500285553470919,0.07578892501913162
2021-05-01,5,2021,0.30688272980501385,0.10198014055033772
2021-06-01,6,2021,0.33738667385057464,0.09097764134384788
2021-07-01,7,2021,0.3230847893915756,0.0975428236672467
2021-08-01,8,2021,0.33046278976818544,0.10041424201775359
2021-09-01,9,2021,0.283329354075076,0.14437637280462967
2021-10-01,10,2021,0.21363987149137634,0.12589339148963005
2021-11-01,11,2021,0.10755964176829268,0.07794819362171834
2021-12-01,12,2021,0.05298306839186691,0.09487668291491594
2022-01-01,1,2022,-0.022884003032600454,0.031975124259783126
2022-02-01,2,2022,-0.0051235441229010355,0.020397152306687868
2022-03-01,3,2022,0.017292414324220257,0.03188476381071853
2022-04-01,4,2022,0.10975607225211373,0.04074336479904331
2022-05-01,5,2022,0.27416451863354036,0.11085005491453863
2022-06-01,6,2022,0.3547638689048761,0.11980957786829716
2022-07-01,7,2022,0.36666845664280034,0.08493462641284107
2022-08-01,8,2022,0.3239217975937721,0.10396295258506325
2022-09-01,9,2022,0.28305910224438885,0.11676296485160634
2022-10-01,10,2022,0.22196742915670872,0.11087951189994262
2022-11-01,11,2022,0.048781734693877546,0.068260507432922
2022-12-01,12,2022,0.006173889739663092,0.019681775730821836
2023-01-01,1,2023,-0.0209716810683425,0.03314464357870188
2023-02-01,2,2023,0.07801133935907968,0.07516945117887017
2023-03-01,3,2023,0.042893071030640655,0.040747817392128176
2023-04-01,4,2023,0.1279831772683242,0.09244277683853604
2023-05-01,5,2023,0.26648956488255676,0.13632893444660582
2023-06-01,6,2023,0.35259566679118415,0.09558426056285063
2023-07-01,7,2023,0.27802849666983825,0.08036481402537642
2023-08-01,8,2023,0.2845225419664269,0.11369568517112061
2023-09-01,9,2023,0.2815741007194245,0.14076397400454072
2023-10-01,10,2023,0.26677637633525064,0.12592855633959735
2023-11-01,11,2023,0.06820875150541951,0.04680509758309786
2023-12-01,12,2023,0.028195130434782608,0.05322007505527297
